Unique Key,Month,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39322452,May,5/30/2018 16:13,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
39166333,May,5/12/2018 0:29,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,INWOOD HILL PARK,MANHATTAN,10034,40.87244554,-73.92513113,"(40.8724455362315, -73.92513113415541)"
39330994,May,5/31/2018 11:20,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,RIVERSIDE PARK,MANHATTAN,10025,40.80024518,-73.97335875,"(40.800245180318555, -73.97335875005403)"
39338078,May,5/31/2018 13:18,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,FT TRYON PARK,MANHATTAN,10040,40.86138133,-73.93354533,"(40.86138132660212, -73.93354532527394)"
39196586,May,5/15/2018 9:38,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,COLONEL YOUNG PLAYGROUND,MANHATTAN,10037,40.81919903,-73.9355601,"(40.81919903067389, -73.93556009937095)"
38889995,April,4/8/2018 14:39,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Street/Curbside,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
38092317,January,1/2/2018 9:20,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
38139574,January,1/7/2018 11:17,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Street/Curbside,ISHAM PARK,MANHATTAN,10034,40.87023791,-73.91972817,"(40.87023791438702, -73.91972816874608)"
38188323,January,1/11/2018 12:13,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
38192675,January,1/12/2018 13:29,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
38215016,January,1/15/2018 14:18,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
38314991,January,1/26/2018 10:19,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,PENNSYLVANIA STATION,MANHATTAN,10121,40.75006595,-73.99210676,"(40.75006595421169, -73.9921067617765)"
38321073,January,1/27/2018 12:45,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
38398695,February,2/6/2018 13:01,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
38413247,February,2/7/2018 9:52,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,BELLEVUE HOSPITAL,MANHATTAN,10016,40.73950195,-73.97610752,"(40.7395019493679, -73.97610752413196)"
38431183,February,2/10/2018 9:39,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,CITY HALL,MANHATTAN,10007,40.71274564,-74.0060095,"(40.71274563665573, -74.00600949796177)"
