Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39604030,6/30/2018 0:00,Department of Health and Mental Hygiene,Standing Water,Fountain - Over 5 Gallons,Other,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39630617,7/3/2018 12:33,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,JJ BYRNE PLAYGROUND,BROOKLYN,11215,40.67276714,-73.98410204,"(40.672767137500145, -73.98410204063276)"
39858993,7/29/2018 1:01,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,HIGHLAND PARK,BROOKLYN,11208,40.68469956,-73.88739271,"(40.68469956397583, -73.88739270988542)"
39359616,6/3/2018 17:49,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,DYKER BEACH PARK,BROOKLYN,11228,40.61174747,-74.01823173,"(40.61174747150455, -74.01823172578321)"
40938581,11/14/2018 13:27,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
40634857,10/23/2018 11:52,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,MCCARREN PARK,BROOKLYN,11222,40.72084647,-73.95180273,"(40.72084647199604, -73.95180272776703)"
40101661,8/24/2018 11:50,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,MARIA HERNANDEZ PARK,BROOKLYN,11237,40.70317707,-73.92386055,"(40.703177068089516, -73.92386055355293)"
40111138,8/26/2018 18:32,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
40117360,8/27/2018 20:33,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
40122809,8/27/2018 6:10,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39410498,6/8/2018 16:20,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,HIGHLAND PARK,BROOKLYN,11208,40.68469956,-73.88739271,"(40.68469956397583, -73.88739270988542)"
39607976,7/1/2018 1:15,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BRIGHTON BEACH,BROOKLYN,11235,40.57427486,-73.95834109,"(40.57427485509747, -73.95834109107324)"
39193613,5/15/2018 16:20,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,MARINE PARK,BROOKLYN,11229,40.60081723,-73.93031161,"(40.60081722577983, -73.93031160938723)"
39195579,5/15/2018 14:32,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,BENSON PLAYGROUND,BROOKLYN,11214,40.60243855,-74.00224714,"(40.60243854929026, -74.0022471376162)"
39358043,6/3/2018 19:26,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39360495,6/3/2018 9:34,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Beach,BROOKLYN BRIDGE PARK,BROOKLYN,11201,40.70143729,-73.99592462,"(40.70143729448085, -73.99592462136417)"
39199127,5/15/2018 15:43,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,KOLBERT PARK,BROOKLYN,11230,40.62009913,-73.95796308,"(40.62009912622072, -73.9579630841687)"
39374521,6/5/2018 23:09,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,DOME PLAYGROUND,BROOKLYN,11218,40.63816581,-73.98016128,"(40.638165813494766, -73.98016127536646)"
39614116,7/1/2018 21:43,Department of Parks and Recreation,DPR Internal,Aided/Injury,Beach,CONEY ISLAND BEACH,BROOKLYN,11224,40.57262003,-73.97982079,"(40.57262002963973, -73.97982078536967)"
40387025,9/26/2018 12:23,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,BKLYN BATTERY TUNNEL,BROOKLYN,11231,40.68530884,-74.0077738,"(40.68530884354915, -74.00777379748439)"
40935993,11/14/2018 14:16,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,BROOKLYN BRIDGE PARK,BROOKLYN,11201,40.70143729,-73.99592462,"(40.70143729448085, -73.99592462136417)"
39879246,7/31/2018 15:03,Department of Parks and Recreation,DPR Internal,Aided/Injury,Street/Curbside,SAMUEL GOLDBERG TRIANGLE,BROOKLYN,11204,40.61113732,-73.97723756,"(40.61113731923445, -73.97723756335868)"
40430861,10/1/2018 22:46,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,GRAND ARMY PLAZA,BROOKLYN,11238,40.67399127,-73.97011778,"(40.67399126989863, -73.97011777647462)"
39892081,8/1/2018 6:49,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,BROOKDALE HOSPITAL,BROOKLYN,11212,40.65465484,-73.91215968,"(40.65465483755571, -73.91215967628948)"
39393876,6/7/2018 15:07,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,BARTLETT PLAYGROUND,BROOKLYN,11206,40.70092243,-73.94604673,"(40.70092242901664, -73.94604672798827)"
40685975,10/29/2018 14:21,Department of Transportation,Public Toilet,New Automatic Public Toilet Request,Sidewalk,BRIGHTON BEACH,BROOKLYN,11235,40.57427486,-73.95834109,"(40.57427485509747, -73.95834109107324)"
39900756,8/2/2018 20:59,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39641643,7/4/2018 19:34,Department of Parks and Recreation,Dead/Dying Tree,Planted Less Than 2 Years Ago,Street,BK BOTANIC GARDENS,BROOKLYN,11225,40.66780003,-73.96394208,"(40.667800029241526, -73.96394207516273)"
41211987,12/17/2018 15:34,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,BARCLAYS CENTER,BROOKLYN,11217,40.682817,-73.97554013,"(40.68281699836376, -73.97554013353896)"
39650945,7/5/2018 19:20,Department of Parks and Recreation,DPR Internal,Aided/Injury,Pool,HOWARD POOL,BROOKLYN,11212,40.67280369,-73.90909317,"(40.672803685032264, -73.90909316761726)"
41220575,12/18/2018 11:56,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,FOX PLAYGROUND,BROOKLYN,11234,40.63239752,-73.9239269,"(40.632397519082595, -73.92392689563124)"
40182461,9/3/2018 7:25,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39928191,8/5/2018 15:00,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39660997,7/6/2018 22:02,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
40420665,9/30/2018 21:50,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
41226339,12/19/2018 10:07,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39921275,8/4/2018 19:17,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39929842,8/5/2018 16:46,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Street/Curbside,CONEY ISLAND BEACH,BROOKLYN,11224,40.57262003,-73.97982079,"(40.57262002963973, -73.97982078536967)"
40173909,9/2/2018 10:50,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,ASSER LEVY PARK,BROOKLYN,11224,40.57506948,-73.97190429,"(40.575069476456186, -73.97190429053232)"
39670362,7/7/2018 23:49,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39674908,7/8/2018 19:29,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39675180,7/8/2018 19:03,Department of Transportation,Public Toilet,Flooded,Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39683591,7/9/2018 17:41,Department of Parks and Recreation,DPR Internal,Aided/Injury,Pool,KOSCIUSZKO POOL,BROOKLYN,11216,40.69120749,-73.94942978,"(40.69120748583327, -73.94942978366328)"
40173148,9/3/2018 1:31,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,EVERGREEN CEMETERY,BROOKLYN,11207,40.68410216,-73.90355039,"(40.68410215690713, -73.90355038892673)"
40182720,9/3/2018 19:24,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,GRAND ARMY PLAZA,BROOKLYN,11238,40.67399127,-73.97011778,"(40.67399126989863, -73.97011777647462)"
